French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
place,square
parle,speak
compris,understood
voici,here is
pourrais,could
type,type
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
loin,far
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
